oid,classALeRCE
sim_SNIbc_00597,SNIbc
sim_YSO_00132,YSO
sim_CV_Nova_00961,CV_Nova
sim_SNIa_00064,SNIa
sim_QSO_00345,QSO
sim_YSO_00170,YSO
sim_LPV_00177,LPV
sim_SLSN_00620,SLSN
sim_AGN_00171,AGN
sim_SNIbc_00909,SNIbc
sim_SLSN_00987,SLSN
sim_Periodic-Other_00874,Periodic-Other
sim_SNIa_00701,SNIa
sim_SNIbc_00243,SNIbc
sim_SNIa_00213,SNIa
sim_RRL_00865,RRL
sim_SLSN_00682,SLSN
sim_SNIa_00442,SNIa
sim_RRL_00542,RRL
sim_SLSN_00235,SLSN
sim_RRL_00878,RRL
sim_SNII_00375,SNII
sim_Blazar_00833,Blazar
sim_SNIbc_00140,SNIbc
sim_CEP_00692,CEP
sim_LPV_00907,LPV
sim_RRL_00820,RRL
sim_CV_Nova_00762,CV_Nova
sim_SNII_00132,SNII
sim_AGN_00203,AGN
sim_AGN_00810,AGN
sim_SNII_00165,SNII
sim_QSO_00930,QSO
sim_SNIa_00447,SNIa
sim_YSO_00541,YSO
sim_Periodic-Other_00432,Periodic-Other
sim_CEP_00514,CEP
sim_LPV_00176,LPV
sim_SNII_00685,SNII
sim_SLSN_00419,SLSN
sim_AGN_00625,AGN
sim_AGN_00482,AGN
sim_SNIbc_00195,SNIbc
sim_E_00989,E
sim_DSCT_00149,DSCT
sim_SNIbc_00598,SNIbc
sim_CEP_00882,CEP
sim_CV_Nova_00799,CV_Nova
sim_CEP_00620,CEP
sim_CEP_00690,CEP
sim_SNIa_00622,SNIa
sim_E_00193,E
sim_YSO_00892,YSO
sim_CEP_00185,CEP
sim_YSO_00245,YSO
sim_CV_Nova_00099,CV_Nova
sim_RRL_00369,RRL
sim_SNIbc_00259,SNIbc
sim_CV_Nova_00150,CV_Nova
sim_QSO_00602,QSO
sim_CV_Nova_00194,CV_Nova
sim_DSCT_00238,DSCT
sim_DSCT_00291,DSCT
sim_AGN_00163,AGN
sim_SLSN_00645,SLSN
sim_CEP_00623,CEP
sim_SNII_00450,SNII
sim_Periodic-Other_00302,Periodic-Other
sim_E_00068,E
sim_YSO_00733,YSO
sim_CV_Nova_00950,CV_Nova
sim_SNII_00392,SNII
sim_YSO_00900,YSO
sim_AGN_00348,AGN
sim_RRL_00438,RRL
sim_Periodic-Other_00352,Periodic-Other
sim_SNIbc_00110,SNIbc
sim_Periodic-Other_00703,Periodic-Other
sim_LPV_00367,LPV
sim_SNII_00178,SNII
sim_Periodic-Other_00332,Periodic-Other
sim_CEP_00762,CEP
sim_QSO_00029,QSO
sim_CEP_00845,CEP
sim_Blazar_00756,Blazar
sim_SNIbc_00979,SNIbc
sim_CV_Nova_00605,CV_Nova
sim_YSO_00430,YSO
sim_Blazar_00936,Blazar
sim_CV_Nova_00592,CV_Nova
sim_E_00927,E
sim_SLSN_00174,SLSN
sim_AGN_00725,AGN
sim_SNIa_00706,SNIa
sim_CEP_00987,CEP
sim_QSO_00959,QSO
sim_SNIbc_00656,SNIbc
sim_YSO_00394,YSO
sim_QSO_00645,QSO
sim_QSO_00590,QSO
sim_E_00977,E
sim_SNIa_00212,SNIa
sim_AGN_00951,AGN
sim_CV_Nova_00707,CV_Nova
sim_Periodic-Other_00204,Periodic-Other
sim_YSO_00867,YSO
sim_SNII_00598,SNII
sim_CV_Nova_00578,CV_Nova
sim_SNII_00730,SNII
sim_AGN_00803,AGN
sim_CV_Nova_00510,CV_Nova
sim_Blazar_00495,Blazar
sim_SNIbc_00308,SNIbc
sim_RRL_00658,RRL
sim_SNIbc_00418,SNIbc
sim_LPV_00584,LPV
sim_E_00558,E
sim_SNIa_00168,SNIa
sim_AGN_00660,AGN
sim_CEP_00361,CEP
sim_YSO_00837,YSO
sim_SLSN_00759,SLSN
sim_E_00660,E
sim_RRL_00283,RRL
sim_SNIa_00029,SNIa
sim_SNIbc_00330,SNIbc
sim_SNIbc_00258,SNIbc
sim_RRL_00014,RRL
sim_AGN_00053,AGN
sim_SLSN_00642,SLSN
sim_QSO_00783,QSO
sim_E_00500,E
sim_LPV_00545,LPV
sim_SNIbc_00158,SNIbc
sim_DSCT_00591,DSCT
sim_Periodic-Other_00155,Periodic-Other
sim_RRL_00909,RRL
sim_SNIbc_00095,SNIbc
sim_QSO_00505,QSO
sim_DSCT_00391,DSCT
sim_CV_Nova_00532,CV_Nova
sim_Periodic-Other_00267,Periodic-Other
sim_AGN_00302,AGN
sim_E_00913,E
sim_LPV_00905,LPV
sim_SLSN_00785,SLSN
sim_CV_Nova_00630,CV_Nova
sim_QSO_00976,QSO
sim_CEP_00445,CEP
sim_DSCT_00350,DSCT
sim_AGN_00661,AGN
sim_Periodic-Other_00203,Periodic-Other
sim_RRL_00550,RRL
sim_Periodic-Other_00906,Periodic-Other
sim_Blazar_00041,Blazar
sim_SNII_00780,SNII
sim_E_00216,E
sim_CV_Nova_00199,CV_Nova
sim_Periodic-Other_00287,Periodic-Other
sim_SLSN_00022,SLSN
sim_E_00679,E
sim_E_00820,E
sim_DSCT_00956,DSCT
sim_DSCT_00659,DSCT
sim_Periodic-Other_00954,Periodic-Other
sim_CEP_00500,CEP
sim_CV_Nova_00256,CV_Nova
sim_DSCT_00934,DSCT
sim_YSO_00811,YSO
sim_SNIa_00602,SNIa
sim_DSCT_00686,DSCT
sim_RRL_00157,RRL
sim_Blazar_00454,Blazar
sim_DSCT_00355,DSCT
sim_Periodic-Other_00520,Periodic-Other
sim_E_00388,E
sim_AGN_00311,AGN
sim_SNIa_00066,SNIa
sim_QSO_00858,QSO
sim_YSO_00049,YSO
sim_QSO_00128,QSO
sim_CV_Nova_00242,CV_Nova
sim_QSO_00305,QSO
sim_LPV_00954,LPV
sim_SNIa_00544,SNIa
sim_SNIa_00164,SNIa
sim_CEP_00449,CEP
sim_SNII_00903,SNII
sim_AGN_00475,AGN
sim_SNII_00221,SNII
sim_Periodic-Other_00257,Periodic-Other
sim_Periodic-Other_00738,Periodic-Other
sim_SLSN_00752,SLSN
sim_LPV_00433,LPV
sim_Periodic-Other_00832,Periodic-Other
sim_DSCT_00357,DSCT
sim_YSO_00112,YSO
sim_QSO_00635,QSO
sim_Blazar_00416,Blazar
sim_E_00711,E
sim_RRL_00456,RRL
sim_Blazar_00176,Blazar
sim_E_00533,E
sim_AGN_00090,AGN
sim_SNII_00073,SNII
sim_DSCT_00286,DSCT
sim_DSCT_00523,DSCT
sim_LPV_00730,LPV
sim_CV_Nova_00281,CV_Nova
sim_Blazar_00201,Blazar
sim_Blazar_00313,Blazar
sim_RRL_00418,RRL
sim_SNII_00884,SNII
sim_Blazar_00827,Blazar
sim_SNIa_00146,SNIa
sim_QSO_00115,QSO
sim_Blazar_00432,Blazar
sim_Blazar_00644,Blazar
sim_Periodic-Other_00086,Periodic-Other
sim_E_00853,E
sim_Periodic-Other_00077,Periodic-Other
sim_AGN_00316,AGN
sim_QSO_00655,QSO
sim_Blazar_00293,Blazar
sim_YSO_00474,YSO
sim_E_00244,E
sim_SNII_00552,SNII
sim_RRL_00368,RRL
sim_SNIa_00344,SNIa
sim_DSCT_00048,DSCT
sim_AGN_00623,AGN
sim_LPV_00287,LPV
sim_CEP_00179,CEP
sim_Periodic-Other_00437,Periodic-Other
sim_SNII_00387,SNII
sim_CV_Nova_00512,CV_Nova
sim_CEP_00016,CEP
sim_DSCT_00180,DSCT
sim_SNIa_00605,SNIa
sim_SLSN_00498,SLSN
sim_DSCT_00627,DSCT
sim_LPV_00664,LPV
sim_CEP_00247,CEP
sim_LPV_00486,LPV
sim_YSO_00395,YSO
sim_SNIa_00911,SNIa
sim_LPV_00306,LPV
sim_LPV_00771,LPV
sim_DSCT_00246,DSCT
sim_Periodic-Other_00494,Periodic-Other
sim_SNIa_00588,SNIa
sim_CV_Nova_00855,CV_Nova
sim_E_00686,E
sim_CEP_00126,CEP
sim_SLSN_00172,SLSN
sim_CV_Nova_00365,CV_Nova
sim_E_00590,E
sim_AGN_00487,AGN
sim_SLSN_00100,SLSN
sim_DSCT_00047,DSCT
sim_DSCT_00495,DSCT
sim_SNIa_00484,SNIa
sim_Periodic-Other_00557,Periodic-Other
sim_SLSN_00911,SLSN
sim_SNII_00899,SNII
sim_Blazar_00804,Blazar
sim_SNIbc_00338,SNIbc
sim_QSO_00888,QSO
sim_Blazar_00843,Blazar
sim_SNIbc_00504,SNIbc
sim_Blazar_00492,Blazar
sim_AGN_00854,AGN
sim_E_00064,E
sim_E_00933,E
sim_QSO_00409,QSO
sim_DSCT_00752,DSCT
sim_DSCT_00700,DSCT
sim_CEP_00112,CEP
sim_AGN_00342,AGN
sim_YSO_00627,YSO
sim_CV_Nova_00081,CV_Nova
sim_CV_Nova_00213,CV_Nova
sim_QSO_00034,QSO
sim_E_00453,E
sim_AGN_00999,AGN
sim_CV_Nova_00029,CV_Nova
sim_LPV_00033,LPV
sim_DSCT_00174,DSCT
sim_CV_Nova_00120,CV_Nova
sim_QSO_00884,QSO
sim_YSO_00330,YSO
sim_SNII_00379,SNII
sim_AGN_00772,AGN
sim_SNIbc_00153,SNIbc
sim_CEP_00183,CEP
sim_SNIa_00653,SNIa
sim_DSCT_00509,DSCT
sim_YSO_00324,YSO
sim_DSCT_00438,DSCT
sim_SNIa_00313,SNIa
sim_QSO_00275,QSO
sim_CEP_00691,CEP
sim_AGN_00847,AGN
sim_SNIa_00286,SNIa
sim_SNII_00488,SNII
sim_SLSN_00367,SLSN
sim_SNIbc_00230,SNIbc
sim_DSCT_00431,DSCT
sim_DSCT_00204,DSCT
sim_YSO_00525,YSO
sim_CV_Nova_00572,CV_Nova
sim_SLSN_00099,SLSN
sim_RRL_00775,RRL
sim_AGN_00586,AGN
sim_SNIbc_00228,SNIbc
sim_Blazar_00776,Blazar
sim_Periodic-Other_00829,Periodic-Other
sim_SLSN_00404,SLSN
sim_DSCT_00777,DSCT
sim_QSO_00049,QSO
sim_E_00542,E
sim_SNIa_00025,SNIa
sim_Periodic-Other_00682,Periodic-Other
sim_RRL_00561,RRL
sim_SNII_00783,SNII
sim_SNIa_00807,SNIa
sim_DSCT_00176,DSCT
sim_CV_Nova_00509,CV_Nova
sim_Periodic-Other_00863,Periodic-Other
sim_SLSN_00581,SLSN
sim_Periodic-Other_00767,Periodic-Other
sim_QSO_00718,QSO
sim_AGN_00058,AGN
sim_CEP_00466,CEP
sim_LPV_00973,LPV
sim_CEP_00354,CEP
sim_AGN_00897,AGN
sim_YSO_00665,YSO
sim_SNIbc_00020,SNIbc
sim_Blazar_00547,Blazar
sim_RRL_00306,RRL
sim_SLSN_00945,SLSN
sim_QSO_00768,QSO
sim_AGN_00161,AGN
sim_E_00278,E
sim_QSO_00514,QSO
sim_SNIbc_00502,SNIbc
sim_SNIbc_00483,SNIbc
sim_QSO_00859,QSO
sim_SLSN_00024,SLSN
sim_CV_Nova_00792,CV_Nova
sim_SNIa_00767,SNIa
sim_Periodic-Other_00259,Periodic-Other
sim_DSCT_00995,DSCT
sim_RRL_00487,RRL
sim_QSO_00061,QSO
sim_E_00098,E
sim_SNIa_00299,SNIa
sim_RRL_00315,RRL
sim_SLSN_00244,SLSN
sim_QSO_00307,QSO
sim_SNII_00294,SNII
sim_Periodic-Other_00099,Periodic-Other
sim_SLSN_00337,SLSN
sim_LPV_00337,LPV
sim_CV_Nova_00973,CV_Nova
sim_Blazar_00788,Blazar
sim_AGN_00644,AGN
sim_LPV_00538,LPV
sim_RRL_00749,RRL
sim_SLSN_00089,SLSN
sim_Blazar_00244,Blazar
sim_CV_Nova_00755,CV_Nova
sim_Periodic-Other_00739,Periodic-Other
sim_DSCT_00061,DSCT
sim_YSO_00438,YSO
sim_E_00130,E
sim_CV_Nova_00719,CV_Nova
sim_LPV_00400,LPV
sim_AGN_00346,AGN
sim_QSO_00318,QSO
sim_RRL_00952,RRL
sim_SNIa_00422,SNIa
sim_DSCT_00333,DSCT
sim_RRL_00961,RRL
sim_Blazar_00693,Blazar
sim_LPV_00323,LPV
sim_AGN_00105,AGN
sim_CV_Nova_00310,CV_Nova
sim_RRL_00441,RRL
sim_YSO_00576,YSO
sim_QSO_00053,QSO
sim_RRL_00632,RRL
sim_SLSN_00604,SLSN
sim_AGN_00549,AGN
sim_Blazar_00989,Blazar
sim_DSCT_00916,DSCT
sim_SNII_00064,SNII
sim_CV_Nova_00545,CV_Nova
sim_RRL_00344,RRL
sim_SNIa_00237,SNIa
sim_LPV_00668,LPV
sim_CV_Nova_00443,CV_Nova
sim_QSO_00610,QSO
sim_SNII_00829,SNII
sim_SLSN_00846,SLSN
sim_DSCT_00749,DSCT
sim_E_00196,E
sim_SLSN_00137,SLSN
sim_RRL_00112,RRL
sim_CEP_00084,CEP
sim_LPV_00833,LPV
sim_E_00374,E
sim_SNII_00038,SNII
sim_SLSN_00928,SLSN
sim_QSO_00757,QSO
sim_LPV_00744,LPV
sim_LPV_00127,LPV
sim_SNII_00000,SNII
sim_E_00445,E
sim_QSO_00637,QSO
sim_SNII_00195,SNII
sim_SNIa_00493,SNIa
sim_RRL_00989,RRL
sim_E_00721,E
sim_DSCT_00661,DSCT
sim_E_00188,E
sim_QSO_00268,QSO
sim_LPV_00178,LPV
sim_SNIbc_00933,SNIbc
sim_RRL_00581,RRL
sim_YSO_00290,YSO
sim_SLSN_00006,SLSN
sim_SNII_00103,SNII
sim_SNIa_00931,SNIa
sim_SNII_00491,SNII
sim_LPV_00230,LPV
sim_RRL_00923,RRL
sim_SNIa_00928,SNIa
sim_AGN_00931,AGN
sim_AGN_00680,AGN
sim_QSO_00689,QSO
sim_CV_Nova_00499,CV_Nova
sim_Blazar_00375,Blazar
sim_Periodic-Other_00098,Periodic-Other
sim_Blazar_00748,Blazar
sim_SNIa_00522,SNIa
sim_Blazar_00949,Blazar
sim_LPV_00179,LPV
sim_SLSN_00347,SLSN
sim_DSCT_00781,DSCT
sim_SNII_00127,SNII
sim_LPV_00811,LPV
sim_DSCT_00859,DSCT
sim_SNIbc_00671,SNIbc
sim_E_00704,E
sim_QSO_00131,QSO
sim_SNII_00513,SNII
sim_Periodic-Other_00779,Periodic-Other
sim_DSCT_00471,DSCT
sim_RRL_00901,RRL
sim_CEP_00968,CEP
sim_DSCT_00033,DSCT
sim_SNIbc_00242,SNIbc
sim_AGN_00186,AGN
sim_SNII_00985,SNII
sim_SNIbc_00505,SNIbc
sim_YSO_00228,YSO
sim_CEP_00058,CEP
sim_SLSN_00454,SLSN
sim_SLSN_00735,SLSN
sim_CEP_00143,CEP
sim_SNIa_00798,SNIa
sim_RRL_00232,RRL
sim_Blazar_00993,Blazar
sim_RRL_00662,RRL
sim_Blazar_00141,Blazar
sim_RRL_00818,RRL
sim_LPV_00172,LPV
sim_Periodic-Other_00360,Periodic-Other
sim_SNII_00925,SNII
sim_SNII_00481,SNII
sim_SNII_00487,SNII
sim_Periodic-Other_00354,Periodic-Other
sim_CV_Nova_00045,CV_Nova
sim_DSCT_00320,DSCT
sim_SNII_00284,SNII
sim_SLSN_00279,SLSN
sim_SNIbc_00448,SNIbc
sim_DSCT_00289,DSCT
sim_SNII_00869,SNII
sim_CV_Nova_00037,CV_Nova
sim_CEP_00588,CEP
sim_LPV_00046,LPV
sim_SNII_00495,SNII
sim_SLSN_00799,SLSN
sim_SNIbc_00903,SNIbc
sim_LPV_00612,LPV
sim_DSCT_00283,DSCT
sim_SLSN_00156,SLSN
sim_QSO_00907,QSO
sim_RRL_00950,RRL
sim_DSCT_00281,DSCT
sim_SLSN_00932,SLSN
sim_AGN_00160,AGN
sim_E_00683,E
sim_CEP_00409,CEP
sim_E_00980,E
sim_LPV_00299,LPV
sim_DSCT_00118,DSCT
sim_Periodic-Other_00197,Periodic-Other
sim_DSCT_00104,DSCT
sim_CEP_00053,CEP
sim_Blazar_00582,Blazar
sim_YSO_00976,YSO
sim_SNIbc_00745,SNIbc
sim_SLSN_00570,SLSN
sim_DSCT_00181,DSCT
sim_Blazar_00439,Blazar
sim_DSCT_00112,DSCT
sim_SNII_00199,SNII
sim_DSCT_00522,DSCT
sim_LPV_00809,LPV
sim_DSCT_00067,DSCT
sim_RRL_00437,RRL
sim_DSCT_00888,DSCT
sim_AGN_00112,AGN
sim_RRL_00955,RRL
sim_DSCT_00303,DSCT
sim_AGN_00617,AGN
sim_CV_Nova_00235,CV_Nova
sim_Periodic-Other_00634,Periodic-Other
sim_CV_Nova_00447,CV_Nova
sim_RRL_00205,RRL
sim_LPV_00506,LPV
sim_RRL_00780,RRL
sim_RRL_00894,RRL
sim_CV_Nova_00412,CV_Nova
sim_AGN_00799,AGN
sim_AGN_00134,AGN
sim_SNIbc_00944,SNIbc
sim_RRL_00668,RRL
sim_E_00764,E
sim_Blazar_00191,Blazar
sim_RRL_00698,RRL
sim_SNII_00824,SNII
sim_Periodic-Other_00323,Periodic-Other
sim_LPV_00105,LPV
sim_DSCT_00503,DSCT
sim_SNIa_00559,SNIa
sim_E_00547,E
sim_Periodic-Other_00142,Periodic-Other
sim_SNIbc_00697,SNIbc
sim_QSO_00512,QSO
sim_Periodic-Other_00955,Periodic-Other
sim_DSCT_00279,DSCT
sim_QSO_00778,QSO
sim_SNIa_00011,SNIa
sim_CEP_00877,CEP
sim_SNII_00924,SNII
sim_QSO_00755,QSO
sim_Periodic-Other_00516,Periodic-Other
sim_CV_Nova_00123,CV_Nova
sim_QSO_00897,QSO
sim_DSCT_00116,DSCT
sim_CV_Nova_00272,CV_Nova
sim_CEP_00313,CEP
sim_SNIbc_00754,SNIbc
sim_YSO_00082,YSO
sim_AGN_00395,AGN
sim_SNIbc_00599,SNIbc
sim_SNIa_00200,SNIa
sim_CEP_00742,CEP
sim_QSO_00017,QSO
sim_DSCT_00923,DSCT
sim_YSO_00987,YSO
sim_Periodic-Other_00549,Periodic-Other
sim_SNII_00977,SNII
sim_LPV_00272,LPV
sim_DSCT_00278,DSCT
sim_RRL_00027,RRL
sim_SLSN_00160,SLSN
sim_DSCT_00839,DSCT
sim_QSO_00982,QSO
sim_LPV_00510,LPV
sim_E_00691,E
sim_Blazar_00822,Blazar
sim_DSCT_00909,DSCT
sim_LPV_00598,LPV
sim_Blazar_00561,Blazar
sim_SNIbc_00104,SNIbc
sim_AGN_00677,AGN
sim_SNIa_00075,SNIa
sim_Periodic-Other_00340,Periodic-Other
sim_CEP_00244,CEP
sim_SNII_00008,SNII
sim_SNII_00182,SNII
sim_Periodic-Other_00441,Periodic-Other
sim_CV_Nova_00295,CV_Nova
sim_RRL_00202,RRL
sim_Blazar_00707,Blazar
sim_SNIa_00018,SNIa
sim_YSO_00334,YSO
sim_CEP_00163,CEP
sim_CV_Nova_00289,CV_Nova
sim_QSO_00007,QSO
sim_LPV_00040,LPV
sim_CEP_00787,CEP
sim_E_00797,E
sim_SNII_00826,SNII
sim_DSCT_00889,DSCT
sim_QSO_00466,QSO
sim_Blazar_00965,Blazar
sim_YSO_00026,YSO
sim_AGN_00522,AGN
sim_AGN_00807,AGN
sim_Blazar_00921,Blazar
sim_SNIa_00093,SNIa
sim_E_00340,E
sim_YSO_00588,YSO
sim_LPV_00083,LPV
sim_SNII_00260,SNII
sim_DSCT_00480,DSCT
sim_SNIa_00824,SNIa
sim_AGN_00699,AGN
sim_SNIbc_00579,SNIbc
sim_SNIbc_00372,SNIbc
sim_RRL_00206,RRL
sim_E_00019,E
sim_Blazar_00327,Blazar
sim_Blazar_00398,Blazar
sim_AGN_00185,AGN
sim_CEP_00198,CEP
sim_AGN_00102,AGN
sim_LPV_00222,LPV
sim_E_00102,E
sim_SNIbc_00713,SNIbc
sim_SNIbc_00056,SNIbc
sim_LPV_00277,LPV
sim_Blazar_00634,Blazar
sim_SLSN_00606,SLSN
sim_DSCT_00705,DSCT
sim_RRL_00580,RRL
sim_SNIbc_00030,SNIbc
sim_Blazar_00382,Blazar
sim_QSO_00337,QSO
sim_CV_Nova_00870,CV_Nova
sim_AGN_00921,AGN
sim_CEP_00837,CEP
sim_AGN_00938,AGN
sim_Periodic-Other_00528,Periodic-Other
sim_AGN_00351,AGN
sim_CEP_00396,CEP
sim_QSO_00123,QSO
sim_LPV_00712,LPV
sim_Blazar_00614,Blazar
sim_SLSN_00332,SLSN
sim_SNIbc_00732,SNIbc
sim_YSO_00930,YSO
sim_YSO_00715,YSO
sim_AGN_00098,AGN
sim_E_00115,E
sim_SNIbc_00703,SNIbc
sim_QSO_00076,QSO
sim_LPV_00956,LPV
sim_DSCT_00060,DSCT
sim_Periodic-Other_00371,Periodic-Other
sim_SNII_00056,SNII
sim_QSO_00251,QSO
sim_LPV_00933,LPV
sim_SLSN_00020,SLSN
sim_SNII_00395,SNII
sim_SLSN_00110,SLSN
sim_YSO_00312,YSO
sim_SNIbc_00900,SNIbc
sim_SNIbc_00706,SNIbc
sim_Periodic-Other_00507,Periodic-Other
sim_CEP_00694,CEP
sim_AGN_00323,AGN
sim_RRL_00072,RRL
sim_CV_Nova_00547,CV_Nova
sim_SNII_00421,SNII
sim_LPV_00858,LPV
sim_CEP_00770,CEP
sim_LPV_00478,LPV
sim_E_00051,E
sim_QSO_00899,QSO
sim_SNII_00878,SNII
sim_YSO_00834,YSO
sim_YSO_00752,YSO
sim_Blazar_00737,Blazar
sim_SLSN_00076,SLSN
sim_AGN_00142,AGN
sim_SNII_00158,SNII
sim_QSO_00606,QSO
sim_SNII_00189,SNII
sim_CEP_00341,CEP
sim_AGN_00828,AGN
sim_CV_Nova_00584,CV_Nova
sim_AGN_00972,AGN
sim_LPV_00255,LPV
sim_Blazar_00151,Blazar
sim_QSO_00208,QSO
sim_SLSN_00187,SLSN
sim_YSO_00990,YSO
sim_E_00956,E
sim_CEP_00077,CEP
sim_E_00663,E
sim_CV_Nova_00030,CV_Nova
sim_YSO_00732,YSO
sim_Blazar_00340,Blazar
sim_Blazar_00209,Blazar
sim_SNII_00117,SNII
sim_DSCT_00140,DSCT
sim_LPV_00086,LPV
sim_AGN_00433,AGN
sim_SNIa_00866,SNIa
sim_YSO_00051,YSO
sim_Blazar_00469,Blazar
sim_AGN_00679,AGN
sim_SNII_00644,SNII
sim_Periodic-Other_00457,Periodic-Other
sim_Blazar_00447,Blazar
sim_QSO_00144,QSO
sim_SLSN_00629,SLSN
sim_RRL_00154,RRL
sim_RRL_00887,RRL
sim_DSCT_00641,DSCT
sim_SNIa_00135,SNIa
sim_QSO_00193,QSO
sim_RRL_00391,RRL
sim_AGN_00653,AGN
sim_SNIa_00350,SNIa
sim_RRL_00617,RRL
sim_SLSN_00001,SLSN
sim_DSCT_00880,DSCT
sim_CEP_00521,CEP
sim_Blazar_00040,Blazar
sim_SNII_00035,SNII
sim_SNIa_00719,SNIa
sim_SLSN_00275,SLSN
sim_Periodic-Other_00311,Periodic-Other
sim_DSCT_00514,DSCT
sim_SNIbc_00616,SNIbc
sim_Periodic-Other_00824,Periodic-Other
sim_LPV_00596,LPV
sim_DSCT_00225,DSCT
sim_Blazar_00421,Blazar
sim_DSCT_00545,DSCT
sim_E_00745,E
sim_CEP_00600,CEP
sim_Periodic-Other_00553,Periodic-Other
sim_SNIa_00993,SNIa
sim_RRL_00796,RRL
sim_CV_Nova_00232,CV_Nova
sim_RRL_00377,RRL
sim_SNII_00396,SNII
sim_SNII_00729,SNII
sim_SNIa_00557,SNIa
sim_RRL_00460,RRL
sim_SLSN_00427,SLSN
sim_SNIbc_00155,SNIbc
sim_CV_Nova_00953,CV_Nova
sim_CEP_00246,CEP
sim_AGN_00286,AGN
sim_YSO_00189,YSO
sim_QSO_00742,QSO
sim_SNII_00858,SNII
sim_E_00982,E
sim_Periodic-Other_00725,Periodic-Other
sim_SLSN_00663,SLSN
sim_RRL_00478,RRL
sim_CV_Nova_00264,CV_Nova
sim_SNIbc_00542,SNIbc
sim_CEP_00252,CEP
sim_LPV_00407,LPV
sim_YSO_00654,YSO
sim_SLSN_00301,SLSN
sim_Periodic-Other_00010,Periodic-Other
sim_DSCT_00819,DSCT
sim_LPV_00224,LPV
sim_SNIa_00340,SNIa
sim_SNII_00447,SNII
sim_CV_Nova_00774,CV_Nova
sim_LPV_00160,LPV
sim_CEP_00125,CEP
sim_CEP_00296,CEP
sim_E_00568,E
sim_LPV_00534,LPV
sim_E_00178,E
sim_RRL_00323,RRL
sim_SLSN_00490,SLSN
sim_Periodic-Other_00951,Periodic-Other
sim_SLSN_00338,SLSN
sim_SNIa_00107,SNIa
sim_QSO_00088,QSO
sim_SNIa_00751,SNIa
sim_QSO_00785,QSO
sim_YSO_00293,YSO
sim_QSO_00729,QSO
sim_QSO_00289,QSO
sim_SLSN_00962,SLSN
sim_SNIbc_00741,SNIbc
sim_QSO_00934,QSO
sim_SNII_00935,SNII
sim_YSO_00921,YSO
sim_RRL_00337,RRL
sim_Periodic-Other_00351,Periodic-Other
sim_DSCT_00429,DSCT
sim_SNIa_00970,SNIa
sim_RRL_00370,RRL
sim_SNIa_00573,SNIa
sim_SNIbc_00075,SNIbc
sim_Periodic-Other_00820,Periodic-Other
sim_CV_Nova_00423,CV_Nova
sim_SNIa_00155,SNIa
sim_Blazar_00985,Blazar
sim_Blazar_00751,Blazar
sim_QSO_00093,QSO
sim_AGN_00015,AGN
sim_SNII_00297,SNII
sim_RRL_00963,RRL
sim_CV_Nova_00759,CV_Nova
sim_SLSN_00712,SLSN
sim_RRL_00335,RRL
sim_CEP_00899,CEP
sim_CV_Nova_00485,CV_Nova
sim_DSCT_00914,DSCT
sim_Periodic-Other_00436,Periodic-Other
sim_CEP_00054,CEP
sim_SLSN_00163,SLSN
sim_CEP_00478,CEP
sim_SNIa_00126,SNIa
sim_YSO_00414,YSO
sim_YSO_00883,YSO
sim_SNII_00888,SNII
sim_SNII_00349,SNII
sim_YSO_00128,YSO
sim_DSCT_00298,DSCT
sim_CV_Nova_00542,CV_Nova
sim_SLSN_00812,SLSN
sim_SNIa_00531,SNIa
sim_RRL_00314,RRL
sim_DSCT_00196,DSCT
sim_Blazar_00942,Blazar
sim_Periodic-Other_00958,Periodic-Other
sim_RRL_00929,RRL
sim_LPV_00335,LPV
sim_E_00598,E
sim_YSO_00265,YSO
sim_LPV_00019,LPV
sim_E_00050,E
sim_QSO_00802,QSO
sim_CV_Nova_00229,CV_Nova
sim_E_00137,E
sim_DSCT_00582,DSCT
sim_QSO_00659,QSO
sim_Blazar_00971,Blazar
sim_RRL_00296,RRL
sim_YSO_00272,YSO
sim_LPV_00874,LPV
sim_LPV_00196,LPV
sim_Periodic-Other_00429,Periodic-Other
sim_YSO_00207,YSO
sim_QSO_00447,QSO
sim_Periodic-Other_00019,Periodic-Other
sim_SNII_00840,SNII
sim_CEP_00070,CEP
sim_CEP_00757,CEP
sim_Periodic-Other_00799,Periodic-Other
sim_CV_Nova_00239,CV_Nova
sim_RRL_00076,RRL
sim_LPV_00641,LPV
sim_RRL_00786,RRL
sim_CEP_00305,CEP
sim_Periodic-Other_00007,Periodic-Other
sim_Periodic-Other_00659,Periodic-Other
sim_Periodic-Other_00770,Periodic-Other
sim_AGN_00070,AGN
sim_Blazar_00129,Blazar
sim_Blazar_00247,Blazar
sim_QSO_00122,QSO
sim_DSCT_00890,DSCT
sim_LPV_00319,LPV
sim_SLSN_00530,SLSN
sim_SNIbc_00953,SNIbc
sim_SNIa_00906,SNIa
sim_SNII_00135,SNII
sim_Periodic-Other_00430,Periodic-Other
sim_YSO_00894,YSO
sim_SNIa_00613,SNIa
sim_SNIa_00412,SNIa
sim_LPV_00799,LPV
sim_SNII_00448,SNII
sim_Periodic-Other_00453,Periodic-Other
sim_DSCT_00857,DSCT
sim_Periodic-Other_00672,Periodic-Other
sim_Blazar_00323,Blazar
sim_LPV_00240,LPV
sim_DSCT_00872,DSCT
sim_SLSN_00516,SLSN
